author,comment,published_at,clean_comment
@maissarabukhari4339,Tersangkanya adalah lihat bangunan mungkin Corcoran kurang semennya seharusnya lima tapi oleh mandor cuman di kasih tiga  jadi nggak kuwat harus di selidiki biyar nggak semenya mena yg ngurus bangunan,2 months ago,sangka lihat bangun mungkin corcoran kurang semen lima mandor cuman kasih tiga jadi kuwat selidik biyar semenya mena ngurus bangun
@tarmuziadit3319,Mandor nya yg kurang pengalaman tau kurang memantau kalau habis ngecor itu 2minggu baru di bukak .muda2 korban terselamt semua ya allah,2 months ago,mandor nya kurang alam tau kurang pantau kalau habis ngecor minggu baru bukak muda korban terselamt semua allah
@kananggandung-mn6gv,takdir ada 2 : mubram & muallaq,2 months ago,takdir mubram muallaq
@abdurohim8364,Harus bertanggung jawab ga bisa lepastangan gitu aja,2 months ago,tanggung jawab lepastangan gitu
@alibajang6922,Proyek ini tdk menggunakan kontraktor yg ngecor juga para santri diponpes itu sendiri,2 months ago,proyek tdk guna kontraktor ngecor santri diponpes sendiri
@Sofyan811,"Sy tidak tahu..jangan tanya sy..
Itu takdir..padahal segala sesuatu ada ilmunya..jangan asal2an mmbangun..serahkan kepada ahlinya..",2 months ago,sy tahujangan tanya sy takdirpadahal segala ilmunyajangan asal mmbangunserahkan ahli
@aea-r9x,"Untuk pihak terkait mohon cek semua bangunan sipil, baik itu asrama, sekolah, jalan, drainase, bendungan, jembatan dll. Demi misi kemanusiaan",2 months ago,pihak kait mohon cek semua bangun sipil baik asrama sekolah jalan drainase bendung jembatan misi manusia
@ElHakim-f2c,Kyai bilang : saya tidak tahu........,2 months ago,kyai bilang tahu
@ahmadsopian4203,Pasti akan ada TSK,2 months ago,tsk
@NurFaidah-m4c,"Iya ,mohon maaf harus ada yang bertanggung jawab,jangan  sembunyi dibalik kata takdir. itu kelalaian ,kasian keluarga korban .semoga allah memberi kesabaran keluarga korban ,semoga cepat di temukan semua korban korban ,dan selamat  ,dan kuatkan bara korban ya allah.",2 months ago,iya mohon maaf tanggung jawabjangan sembunyi balik kata takdir lalai kasi keluarga korban moga allah beri sabar keluarga korban moga cepat temu semua korban korban selamat kuat bara korban allah
@daneila5232,Kalau yg kerja ngecornya melibatkan santri maka sudah pasti tidak memakai jasa kontraktor. Paling cuma pakai jasa tukang kampung.,2 months ago,kalau kerja ngecornya libat santri pakai jasa kontraktor paling cuma pakai jasa tukang kampung
@edyponorogo5217,Bukan kontraktor itu bos yang bangun.,2 months ago,bukan kontraktor bos bangun
@zakyferdy9441,Lah dia bilang ini musibah dari tuhan  lepas tangan dong,2 months ago,lah bilang musibah tuhan lepas tangan
@yusnuvidiamin7831,Kontraktor siapa hayoooo,2 months ago,kontraktor siapa hayoooo
@HelmiMuhaymin75,pasti ada mandor proyeknya,2 months ago,mandor proyek
@asdhanet2664,"Ayo !!, berlomba lombalah mendirikan bangunan yang asal asalan, agar makin banyak jamaah yang mati syahid. inilah takdir tuhan !",2 months ago,ayo lomba lomba diri bangun asal asal makin banyak jamaah mati syahid ini takdir tuhan
@yuliyantiervina2575,"Dalam masih pekerjaan pembangunan kok  sdh di gunakan ya Allah kenapa santri""di ijinkan beraktifitas di situ cor""an bisa di gunakan paling bagus sekitar 1-2 bln",2 months ago,kerja bangun sdh guna allah santridi ijinkan beraktifitas situ cor guna paling bagus bln
@PurSito-no2yh,Terlalu gampangke... Pembangunan tanpa perencanaan tehnis yg matang. Yg rugi siapa coba?,2 months ago,terlalu gampangke bangun rencana tehnis matang rugi siapa coba
@harbiecantik1484,Lalai pihak ponpes.😢😢😢,2 months ago,lalai pihak ponpes
@Kembang_kadu,"Kontruksi bangunan harus di teliti,,Knpa bisa ambruk,Siapa Pemborong nya,,",2 months ago,kontruksi bangun telitiknpa ambruksiapa borong nya
@Nur_wyt,Mungkin bangunanya pondasi kurzng kuat atau atap lebih berat dari pada  bawah ..gk kuat menahan beban,2 months ago,mungkin bangunanya pondasi kurzng kuat atap lebih berat bawah kuat tahan beban
@hatunnarisnayati7367,"Bener banget itu gegabah harusnya janganlah diisi dipake dulu,  ya Allah semoga selamat semuanya,,dan yang meninggal dunia husnul khotimah Aamiin 😢😢😢",2 months ago,bener banget gegabah harus jangan isi dipake dulu allah moga selamat semuanyadan tinggal dunia husnul khotimah aamiin
@WilujengSurakata,"​ @hatunnarisnayati7367 
Alhamdulillah Aamiin Allahumma Aamiin",2 months ago,hatunnarisnayati alhamdulillah aamiin allahumma aamiin
@virgi856,Rumah saya juga setengah2 bangunnya karena duitnya itu kekumpul baru dibangun. Ga ada masalah. Kalau pengerjaan  perhitungan bener2. Yg jelas harus ahlinya yg ngerjakan.,2 months ago,rumah tengah bangun duit kumpul baru bangun masalah kalau kerja hitung bener jelas ahli ngerjakan
@UmmuWalihah,"Perencanaan bangunan tentu memenuhi standar bahan dan mutu konstruksi, kecuali ada praktek korupsi bahan bangunan sehingga tidak sesuai mutu standar konstruksi.
Polisi dapat melakukan investigasi dan pengecekkan bersama saksi ahli insinyur sehingga dapat memberikan kesimpulan karena mengakibatkan ada korban meninggal dunia dan luka-luka.",2 months ago,rencana bangun penuh standar bahan mutu konstruksi praktek korupsi bahan bangun sesuai mutu standar konstruksi polisi laku investigasi ecek sama saksi ahli insinyur beri simpul akibat korban tinggal dunia lukaluka
@Junaediruqyah,"Salam dari Pondok Pesantren AL BADAR Pabuaran Sukamakmur Bogor, semoga Allah mudahkan dan lancarkan evakuasi ini.",2 months ago,salam pondok pesantren al badar pabuaran sukamakmur bogor moga allah mudah lancar evakuasi
@ariniindahnihayaty4884,Biaya kok ditanggung negara harusnya pengurus ponpes ikut menanggung biaya dong,2 months ago,biaya tanggung negara harus urus ponpes ikut tanggung biaya
@88_CRYPTO,"Betul, dan di sinilah masalahnya. Konstruksi bangunan publik seperti mushala atau pondok pesantren tidak bisa hanya mengandalkan niat baik dan perizinan administratif, tapi wajib memenuhi standar teknis konstruksi sesuai SNI dan SOP. Perencanaan struktur, analisis beban, pemilihan material, hingga pengawasan lapangan harus dilakukan oleh tenaga profesional (arsitek & insinyur sipil).

Kalau tahapan ini dilewatkan, risiko kegagalan struktur jadi tinggi, apalagi jika lokasi di tepi sungai yang rawan pergeseran tanah. Keselamatan pengguna harus jadi prioritas utama – bukan sekadar asal berdiri bangunannya.

Mari kita doakan para korban yang terkena musibah ini semoga diberi kesembuhan dan ketabahan. Komentar ini tidak untuk menyalahkan siapa pun, melainkan sebagai pembelajaran bagi para kontraktor dan pengelola agar kejadian serupa bisa dicegah di masa depan. 🥺🙏",2 months ago,betul sini masalah konstruksi bangun publik mushala pondok pesantren andal niat baik izin administratif wajib penuh standar teknis konstruksi sesuai sni sop rencana struktur analisis beban pilih material hingga awas lapang laku tenaga profesional arsitek insinyur sipil kalau tahap lewat risiko gagal struktur jadi tinggi lokasi tepi sungai rawan geser tanah selamat guna jadi prioritas utama bukan sekadar asal diri bangun doa korban kena musibah moga beri sembuh tabah komentar salah siapa ajar kontraktor kelola jadi rupa cegah masa depan
@binghadi10,"Pondasi Tidak mampu Manopang Beban Cor Lantai Sampai 3 Lantai Lebih ke Atas.....

Cek Ijin nya ada IMB nya atau Gak !!!!!",2 months ago,pondasi mampu manopang beban cor lantai lantai lebih atas cek ijin nya imb nya gak
@dadysupriadi3288,Terkadang kita tidak sadar bahwa ada proyek d kelilingi pagar seng... Itu salah satu nya agar aman dan d pastikan tidak ada org selai  karyawan proyek yg bekerja... Dan itu prosedur tetap senuah projek,2 months ago,terkadang sadar proyek d keliling pagar seng salah satu nya aman d pasti org selai karyawan proyek kerja prosedur tetap senuah projek
@BeberFadhilah,"Atas di cor kok bawahnya sdh di tempati to pak yai, walaupun hanya utk waktu sholat saja",2 months ago,atas cor bawah sdh tempat to pak yai walaupun utk waktu sholat
@kumbokarno2703,Saya nonton di berita lain kok perkiraan nya sekitar 600-800 orang baru ketemu 102. Emang sebanyak itu ya?,2 months ago (edited),nonton berita kira nya orang baru ketemu emang banyak
@tbfahrirahmanmaulidi,"Innalillahi wainnailaihi rojiun,",2 months ago,innalillahi wainnailaihi rojiun
@IsanFormosa,Ya Allah kasihan banget.. sangat sembrono,2 months ago,allah kasihan banget sangat sembrono
@DedehDjubaedah-s9o,"Ya, ألله.....",2 months ago,
@suyatihasim3443,Betul sekali mending belajar di lapangan sementara,2 months ago,betul sekali mending ajar lapang
@Wahyuni-f3r,"Ealahh....Insinyure kurang pengalaman , insinyur kaleng2 😅😅",2 months ago,ealahhinsinyure kurang alam insinyur kaleng
@indrasupiana2035,Se7,2 months ago,se
@WilujengSurakata,"إنّاَ للهِ وإنَّا إِلَيْهِ رَاجِعُونَ اللَّهُمَّ أجِرْنِي فِي مُصِيبَتي وأَخْلِفْ لِي خَيْراً مِنْها


آمِيْنُ  آمِيْن.. آمِــيْنَ يَااللَّهُ
 يَااللَّهُ يَارَبَّ الْعَالَمِــــــــــيْنَ.",2 months ago,
@MasragilRagilku,"Klo saya ini salah perencanaan dan hitungan teknis.
Karena pembangunan bawah sudah 10 bulan.
Smbrono banget",2 months ago (edited),klo salah rencana hitung teknis bangun bawah bulan smbrono banget
@mahardikareload4751,Dipakai dikarnakan musolla buat tmpat solat.dan t.pat yg lainy pondok juga full.jngn cuma tau m.yalahkan apalg hal nigtif dulu.krna itu bukan disengaka.itu sbuah musibah hnya allah yang tau.doain sja s.moga slamat.,2 months ago,pakai dikarnakan musolla buat tmpat solatdan tpat lainy pondok fulljngn cuma tau myalahkan apalg nigtif dulukrna bukan disengakaitu sbuah musibah hnya allah taudoain sja smoga slamat
@Aspek-x8k,Pelajaran yang sangat berharga tolong jangan mengambinghitamkan siapapun karena semua diluar nalar manusia,2 months ago,ajar sangat harga jangan mengambinghitamkan siapa semua luar nalar manusia
@MadChukuy,Innalilah.. Semoga para korban di beri ketabahan dlm menghadapi Musibah ini. Pelajaran bagi Arsitek dan konstruktor agar lebih profesional lagi.,2 months ago,innalilah moga korban beri tabah dlm hadap musibah ajar arsitek konstruktor lebih profesional
@hjkhuriyati1494,Yaa Alloh beri kesabaran ketabahan bagi semua keluarga korban dlm menghadapi musibah ujian dr Alloh swt,2 months ago,yaa alloh beri sabar tabah semua keluarga korban dlm hadap musibah uji dr alloh swt
@trido6670,Ya alloh lindungilah para santri. Aamiin ya robbal'alamin.,2 months ago,alloh lindung santri aamiin robbalalamin
@ArsitaNardi,😢Semoga yg mengalami kejadian ini(santri..wali santri..pengasuh pemilik.)di beri kesabaran..dan yang sakit segera  sembuh..yg MD mendapatkan ampunan...dari Alloh..Aamiinn..,2 months ago,moga alami jadi inisantriwali santripengasuh pemilikdi beri kesabarandan sakit segera sembuhyg md dapat ampunandari allohaamiinn
@orangbaik1273,"Yaa Allah Yaa Qawwy 

Mugi2 pinaringan sabar...
Mugi2 Gusti Allah ngganjar keselamatan sedanten ipun...",2 months ago,yaa allah yaa qawwy mugi paring sabar mugi gusti allah ngganjar selamat sedanten ipun
@mohamadisak-t3q,Allah memberikan takdir yang baik jika terjadi hal yang tidak baik itu karena kesalahan manusia,2 months ago,allah beri takdir baik jadi baik salah manusia
@paijanganteng2148,"Kalau di proyek  concrete paling atas di sebut tranper sleep, seharusnya dari tingkat bawah di pasang penahan dan TDK boleh ada aktivitas, minimal 3 minggu setelah concrette baru di buka.",2 months ago,kalau proyek concrete paling atas sebut tranper sleep tingkat bawah pasang tahan tdk aktivitas minimal minggu concrette baru buka
@murtiwahyuningsih4754,"Innalillahi wa inna illaihi roji un,ikut berduka cita yg se dalam2nya,yg wafat husnul khotimah,yg terluka    sgera diberi kesembuhan dan tawakal atas musibah yg terjadi",2 months ago,innalillahi wa inna illaihi roji unikut duka cita se dalamnyayg wafat husnul khotimahyg luka sgera beri sembuh tawakal atas musibah jadi
@asepdedi6804,"Berilah kekuatan pada mereka yg kena musibah, ya Alloh.",2 months ago,ilah kuat kena musibah alloh
@erwinwin9413,Innalillahi wainnailaihi rojiun ya Allah berilah mukjizat Mu.. berikanlah keselamatan pd adik2 santri yg terkena musibah,2 months ago,innalillahi wainnailaihi rojiun allah ilah mukjizat mu beri selamat pd adik santri kena musibah
@istianah1629,Ya Allah semoga tdk ada korban jiwa,2 months ago,allah moga tdk korban jiwa
@adreenakasidi4793,Turut berduka citaz  semoga jika terdapat korban jiwa semoga mendapatkan tempat terbaik disisi Allah swt. Bagi korban yg cidera lekas sembuh seperti sedia kala. Aamiin.,2 months ago,turut duka citaz moga dapat korban jiwa moga dapat tempat baik sisi allah swt korban cidera lekas sembuh sedia kala aamiin
@gusyasin8759,kuat kuat...😢😢😢 ya allah...,2 months ago,kuat kuat allah
@sitinurhitah710,turut berduka 😢semoga keluarga santri allah limpahkan kesabaran dan yg sakit tertimpa reruntuhan cpt sembuh,2 months ago,turut duka moga keluarga santri allah limpah sabar sakit timpa runtuh cpt sembuh
@SitiSol-p2m,Lindungi semua santriwati -wan dan anggota keluarga besar podok..Aamiin,2 months ago,lindung semua santriwati wan anggota keluarga besar podokaamiin
@SuratmiRatmi-u2v,Ya Allah...lindungi semuanya yg ada dipondok itu ya Allah...,2 months ago,allahlindungi semua pondok allah
@didikutil1325,"Semoga jadi pembelajaran tentang masalah bangunan,,,, terlepas dr itu memang takdir,,, harus ada penyelidikan",2 months ago,moga jadi ajar masalah bangun lepas dr memang takdir lidi
@SUHARTIHARTI-tu6zh,Inna lillahi waina ilahi rojiunn srmoga uyang ninggal  husnul khotimah dan yang sakit semoga cepat sembuh dan yang   masih  dicari dalamruntuhan semoga cepat ketemu🤲🤲,2 months ago,inna lillahi waina ilahi rojiunn srmoga uyang ninggal husnul khotimah sakit moga cepat sembuh cari dalamruntuhan moga cepat ketemu
@AhmadSaudi-jm9fe,Jgn asal ngomong takdir yai klo manusianya lalai semisal orang memacu kecepatan kendaraan dlm tol maximal 80 minimal 60 tp yg dipkek kecepatan 100 yg seratus itu lbh rentan dgn kecelakaan fatal yg bisa mengakibatkan orang meninggal klo 60 meski kecelakaan bisa diminimalisir,2 months ago,jgn asal ngomong takdir yai klo manusia lalai misal orang pacu cepat kendara dlm tol maximal minimal tp dipkek cepat ratus lbh rentan dgn celaka fatal akibat orang tinggal klo meski celaka diminimalisir
@Nagasari-y4o,"Dari Mlsia ikut berdukacita ..semoga Allah permudahkan urusan.
Dan semua yg terkait diberikan kesabaran ..aamiin yra. 😢",2 months ago,mlsia ikut dukacita moga allah mudah urus semua kait beri sabar aamiin yra
